"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport"
93979,"Stevens_Point_VORTAC_US","STE","Stevens Point","VORTAC",110600,44.5432014465332,-89.53060150146484,1110,"US",110600,"043X",,,,-1.001,-2.01,"LO","MEDIUM",
93980,"Shodo_VOR-DME_JP","STE","Shodo","VOR-DME",114400,34.51240158081055,134.2740020751953,2531,"JP",114400,"091X",,,,-7.011,-7.021,"BOTH","LOW",
93985,"Santiago_VOR-DME_PA","STG","Santiago","VOR-DME",114500,8.0886697769165,-80.940200805664,272,"PA",114500,,,,,,-1.4,"BOTH","HIGH","MPSA"
93986,"Santiago_VOR-DME_ES","STG","Santiago","VOR-DME",116400,42.92689895629883,-8.425390243530273,1283,"ES",116400,"111X",42.9267,-8.42533,1283,-5.007,-4.064,"BOTH","HIGH","LEST"
93990,"Los_Cerrillos_VOR-DME_CL","STI","Los Cerrillos","VOR-DME",112300,-33.502201080322266,-70.7029037475586,1684,"CL",112300,"070X",,,,,3.336,"LO","HIGH","CL-0021"
93992,"St.jJseph_VORTAC_US","STJ","St.jJseph","VORTAC",115500,39.960601806640625,-94.92520141601562,1160,"US",115500,"102X",,,,8.001,3.077,,,
93993,"Strejnic_VOR-DME_RO","STJ","Strejnic","VOR-DME",113200,44.91859817504883,25.976999282836914,545,"RO",113200,"079X",,,,,4.222,"TERMINAL","HIGH","LROP"
93995,"St_Louis_VORTAC_US","STL","St Louis","VORTAC",117400,38.86069869995117,-90.4823989868164,450,"US",117400,"121X",,,,1.001,-0.131,"BOTH","HIGH","KSTL"
93996,"Santarem_VOR-DME_BR","STM","Santarem","VOR-DME",112300,-2.426500082015991,-54.817501068115234,198,"BR",112300,"070X",,,,-16.007,-17.154,"BOTH","MEDIUM","SBSN"
93997,"Sao_Tome_VOR-DME_ST","STM","Sao Tome","VOR-DME",117300,0.3784469962120056,6.717060089111328,33,"ST",117300,"120X",,,,,-4.209,"BOTH","HIGH","FPST"
94002,"Santana_VOR-DME_BR","STN","Santana","VOR-DME",114300,-23.487499237060547,-46.923301696777344,2428,"BR",114300,"090X",,,,-19.007,-19.448,"BOTH","HIGH",
94003,"Surat_Thani_VOR-DME_TH","STN","Surat Thani","VOR-DME",110600,9.129509925842285,99.13480377197266,20,"TH",110600,"043X",,,,0.007,-0.309,"BOTH","HIGH","VTSB"
94004,"Stornoway_VOR-DME_GB","STN","Stornoway","VOR-DME",115100,58.20690155029297,-6.183060169219971,250,"GB",115100,"098X",,,,-7.01,-6.186,"BOTH","HIGH","EGPO"
94005,"Salto_VOR_UY","STO","Salto","VOR",117900,-31.43470001220703,-57.98419952392578,187,"UY",,,,,,-5.007,-9.041,"BOTH","HIGH","SUSO"
94007,"Stockerau_VOR-DME_AT","STO","Stockerau","VOR-DME",113000,48.41709899902344,16.018600463867188,750,"AT",113000,"077X",48.4171,16.0188,750,1.007,2.444,"BOTH","HIGH","LOAU"
94008,"Stokka_VOR-DME_NO","STO","Stokka","VOR-DME",112000,65.96040344238281,12.469400405883789,137,"NO",112000,"057X",,,,0.001,2.078,"RNAV","HIGH","ENST"
94009,"St.tTopez_VOR-DME_FR","STP","St.tTopez","VOR-DME",116500,43.21950149536133,6.601809978485107,1089,"FR",116500,"112X",,,,-1.007,0.29,,,
94010,"Strasbourg_VOR-DME_FR","STR","Strasbourg","VOR-DME",115600,48.505401611328125,7.571969985961914,586,"FR",115600,"103X",48.5056,7.57083,,1.007,0.329,"BOTH","HIGH","LFST"
94012,"Santa_Rosa_VOR-DME_US","STS","Santa Rosa","VOR-DME",113000,38.50809860229492,-122.81099700927734,120,"US",113000,"077X",,,,16.001,15.006,"LO","MEDIUM",
94013,"St_Thomas_VOR-DME_VI","STT","St Thomas","VOR-DME",108600,18.35580062866211,-65.02459716796875,679,"VI",108600,"023X",,,,-10.001,-13.057,"BOTH","HIGH","TIST"
94015,"Strumble_VOR-DME_GB","STU","Strumble","VOR-DME",113100,51.99470138549805,-5.040279865264893,600,"GB",113100,"078X",,,,-6.001,-4.172,"BOTH","HIGH",
94016,"Stefanovikion_VOR_GR","STV","Stefanovikion","VOR",112900,39.480098724365234,22.7716007232666,146,"GR",,,,,,,3.176,"TERMINAL","LOW","GR-0097"
94017,"Standerton_VOR_ZA","STV","Standerton","VOR",116000,-26.696733,28.867443,5412,"ZA",,,,,,,-18.456,"RNAV","HIGH","FASR"
94018,"Stonewall_VORTAC_US","STV","Stonewall","VORTAC",113800,30.20680046081543,-98.70580291748047,1530,"US",113800,"085X",,,,8.012,5.451,"LO","HIGH",
94019,"Stillwater_VOR-DME_US","STW","Stillwater","VOR-DME",109600,40.99580001831055,-74.86900329589844,920,"US",109600,"033X",,,,-11.002,-12.451,"BOTH","MEDIUM",
94031,"Shimizu_VORTAC_JP","SUC","Shimizu","VORTAC",115200,32.75600051879883,132.9969940185547,1469,"JP",115200,"099X",32.756,132.996,1480,-5.007,-6.298,"BOTH","HIGH",
94033,"Chania_VOR-DME_GR","SUD","Chania","VOR-DME",108600,35.52199935913086,24.174400329589844,530,"GR",108600,"023X",,,,0.007,3.084,"BOTH","HIGH","LGSA"
94036,"Sugarloaf_Mt_VORTAC_US","SUG","Sugarloaf Mt","VORTAC",112200,35.40650177001953,-82.26860046386719,3970,"US",112200,"059X",,,,-2.001,-6.006,"LO","MEDIUM","KAVL"
94038,"Subi_VOR-DME_PL","SUI","Subi","VOR-DME",116700,52.37990188598633,14.585599899291992,98,"PL",116700,"114X",,,,0.007,2.321,"BOTH","HIGH",
94039,"Sulz_VOR_DE","SUL","Sulz","VOR",116100,48.38159942626953,8.644840240478516,,"DE",,,,,,0.01,0.513,"BOTH","HIGH",
94040,"Sulaymaniyah_VOR_IQ","SUL","Sulaymaniyah","VOR",117000,35.5796012878418,45.29010009765625,2517,"IQ",,,,,,,4.15,"BOTH","HIGH","ORSU"
94041,"Storuman_VOR-DME_SE","SUM","Storuman","VOR-DME",116300,64.95539855957031,17.70829963684082,958,"SE",116300,"110X",,,,3.001,4.491,"BOTH","HIGH","ESUD"
94042,"Sumburgh_VOR-DME_GB","SUM","Sumburgh","VOR-DME",117350,59.87889862060547,-1.2866699695587158,19,"GB",117350,"120Y",,,,-5.001,-4.212,"BOTH","HIGH","EGPB"
94043,"Sundsvall_VOR-DME_SE","SUN","Sundsvall","VOR-DME",113100,62.52840042114258,17.448699951171875,55,"SE",113100,"078X",,,,3.001,4.226,"RNAV","HIGH","ESNN"
94045,"Sturup_VOR-DME_SE","SUP","Sturup","VOR-DME",113000,55.53450012207031,13.379500389099121,270,"SE",113000,"077X",,,,1.001,2.145,"RNAV","HIGH","ESMS"
94046,"Sucre_VOR-DME_BO","SUR","Sucre","VOR-DME",116500,-19.01129913330078,-65.2916030883789,9528,"BO",116500,"112X",,,,-5.007,-7.252,"BOTH","HIGH","SLSU"
94047,"Sur_VOR-DME_OM","SUR","Sur","VOR-DME",117500,22.546600341796875,59.491600036621094,153,"OM",117500,"122X",,,,0.007,0.355,"HI","HIGH","OM-0038"
94052,"Suwalki_VOR-DME_PL","SUW","Suwalki","VOR-DME",117700,54.069698333740234,22.900299072265625,591,"PL",117700,"124X",,,,3.007,5.074,"BOTH","HIGH",
94054,"Sioux_City_VORTAC_US","SUX","Sioux City","VORTAC",116500,42.34450149536133,-96.32360076904297,1087,"US",116500,"112X",,,,9.001,4.032,"LO","MEDIUM","KSUX"
94060,"Svensheia_VOR-DME_NO","SVA","Svensheia","VOR-DME",112100,58.08449935913086,7.9083099365234375,410,"NO",112100,"058X",,,,-2.001,0.051,"RNAV","HIGH","ENCN"
94062,"Suvarnabhumi_Intl_VOR-DME_TH","SVB","Suvarnabhumi Intl","VOR-DME",111400,13.660699844360352,100.72799682617188,5,"TH",111400,"051X",,,,,-0.354,"BOTH","HIGH","VTBS"
94063,"Silver_City_VORTAC_US","SVC","Silver City","VORTAC",110800,32.637699127197266,-108.16100311279297,5423,"US",110800,"045X",,,,13.001,10.077,"LO","MEDIUM",
94064,"San_Vicente_Del_Caguan_VOR-DME_CO","SVC","San Vicente Del Caguan","VOR-DME",116500,2.148329973220825,-74.76309967041016,922,"CO",116500,"112X",,,,,-4.429,"LO","HIGH","SKSV"
94065,"Salvador_VOR-DME_BR","SVD","Salvador","VOR-DME",116500,-12.906499862670898,-38.3213005065918,63,"BR",116500,"112X",,,,,-23.08,"BOTH","HIGH","SBSV"
